Team,EventKey,Award
2067, 2015necmp, Deans List Finalist
2067, 2015necmp, Regional Engineering Inspiration
2067, 2007ct, Rookie All-Star
2067, 2016ripro, Innovation in Controls
2067, 2016cthar, District Engineering Inspiration
3021, 2016casd, Regional Winner
3021, 2009nv, Team Spirit
3021, 2015casd, Creativity
3021, 2016utwv, GM Industrial Design
3021, 2009sdc, Rookie Inspiration
1369, 2015gape, Regional Finalist
1369, 2015gape, Deans List Finalist
1369, 2007ga, Regional Winner
1369, 2016scmb, Regional Winner
1369, 2016scmb, Deans List Finalist
1369, 2004ga, Regional Winner
1369, 2004ga, Creativity
1369, 2007sc, Judges Award
1369, 2016flor, Creativity
3352, 2014ilil, Imagery
3352, 2016ilch, Regional Winner
3352, 2016ilch, Imagery
3352, 2010il, Winner
3352, 2015ilch, Imagery
2052, 2011dmn, Quality
2052, 2012dmn, Regional Finalist
2052, 2012dmn, Delphi Excellence in Engineering
2052, 2013mndu, Regional Winner
2052, 2013mndu, Judges Award
2052, 2010mn, Deans List Finalist
2052, 2012mn, Innovation in Controls
2052, 2012mn, Deans List Finalist
2052, 2014mnmi, Regional Winner
2052, 2014mnmi, Gracious Professionalism
2052, 2016mndu, Regional Finalist
2052, 2016mndu, Delphi Excellence in Engineering
2052, 2016mndu, Wildcard
2052, 2015mndu, GM Industrial Design
2052, 2015mndu, Regional Finalist
2052, 2015mnmi, Quality
2052, 2015mnmi, Regional Finalist
2052, 2014mndu, Regional Winner
2052, 2013mnmi, Regional Winner
2052, 2013mnmi, Innovation in Controls
2052, 2016mnmi, Regional Chairmans Award
2052, 2016mnmi, Regional Winner
2202, 2014inth, Judges Award
2202, 2013wimi, Entrepreneurship
2202, 2013wimi, Deans List Finalist
2202, 2011wi, GM Industrial Design
2202, 2015wimi, Regional Finalist
2202, 2016wimi, Regional Winner
2202, 2014arc, Quality
2202, 2014wimi, Regional Winner
2202, 2014wimi, Woodie Flowers Finalist
2590, 2012pa, Website Award
2590, 2013njewn, District Chairmans Award
2590, 2013njewn, District Finalist
2590, 2010ma, GM Industrial Design
2590, 2014mrcmp, Regional Winner
2590, 2014mrcmp, GM Industrial Design
2590, 2016pahat, District Event Winner
2590, 2016pahat, Quality
2590, 2015pahat, District Event Winner
2590, 2015pahat, Delphi Excellence in Engineering
2590, 2012njt, Regional Chairmans Award
2590, 2012njt, Regional Winner
2590, 2012njt, Website Award
2590, 2012qc, Regional Winner
2590, 2012qc, Entrepreneurship
2590, 2008nj, Rookie All-Star
2590, 2008nj, Highest Rookie Seed Award
2590, 2008nj, Regional Finalist
2590, 2014arc, Championship Winner
2590, 2014arc, Entrepreneurship
2590, 2016njtab, District Event Winner
2590, 2016njtab, District Engineering Inspiration
2590, 2012pah, Entrepreneurship
2590, 2015qcmo, Regional Winner
2590, 2015qcmo, Delphi Excellence in Engineering
2590, 2013pahat, District Winner
2590, 2013pahat, Quality
2590, 2014njtab, District Chairmans Award
2590, 2014njtab, Regional Finalist
2590, 2014pahat, Winner
2590, 2014pahat, Entrepreneurship
2590, 2016flwp, GM Industrial Design
2590, 2016flwp, Regional Finalist
2590, 2016flwp, Wildcard
2590, 2015njnbr, District Event Winner
2590, 2015njnbr, Entrepreneurship
2590, 2011nj, Website Award
2590, 2015hop, Entrepreneurship
2590, 2013mrcmp, Regional Winner
2590, 2013mrcmp, Delphi Excellence in Engineering
5663, 2016ausy, GM Industrial Design
5663, 2016ausy, Regional Finalist
5663, 2016ausy, Wildcard
4592, 2016flor, Regional Winner
2978, 2009mo, Rookie Inspiration
2978, 2015mosl, Woodie Flowers Finalist
2978, 2015mosl, Team Spirit
2978, 2013mosl, Team Spirit
2978, 2014mosl, Regional Engineering Inspiration?
2978, 2012mo, Imagery
4131, 2016waahs, GM Industrial Design
4131, 2016waahs, District Finalist
4131, 2014pncmp, Gracious Professionalism
4131, 2014pncmp, Deans List Finalist
4131, 2016waamv, Delphi Excellence in Engineering
4131, 2014washo, Judges Award
4131, 2014washo, Regional Finalist
4131, 2014waamv, Team Spirit
4135, 2015casa, Team Spirit
4135, 2012caf, Deans List Finalist
4135, 2016cada, Regional Engineering Inspiration
4135, 2015cama, Safety
296, 2010wat, Winner
296, 2010wat, Entrepreneurship
296, 2005on, Judges Award
296, 2005on, Autodesk Award
296, 2006arc, Division Winner
296, 2006nh, Judges Award
296, 2006nh, Autodesk Award
296, 2016qcmo, Deans List Finalist
296, 2012qc, Woodie Flowers Finalist
296, 2012qc, Regional Engineering Inspiration?
296, 2001ct, Creativity
296, 2009wat, Entrepreneurship
296, 2006cmp, Championship Winner
296, 2011on, Gracious Professionalism
296, 2013qcmo, Regional Chairmans Award
296, 2013qcmo, Woodie Flowers Finalist
296, 2006on, Innovation in Controls
296, 2006on, Autodesk Award
41, 2004ny, Creativity
41, 2008ny, Regional Winner
41, 2002ny, Regional Finalist
41, 2016njfla, District Finalist
41, 1997nj, Judges Award
41, 2015njfla, Gracious Professionalism
41, 2007nj, Judges Award
41, 2016njski, District Event Winner
2474, 2012mi, Creativity
2474, 2014misjo, Innovation in Controls
2474, 2015misjo, Delphi Excellence in Engineering
2474, 2016misjo, GM Industrial Design
2474, 2008in, Rookie All-Star
2474, 2011gt, Delphi Excellence in Engineering
2474, 2011swm, Winner
2474, 2011swm, Delphi Excellence in Engineering
2474, 2013mitvc, District Winner
2474, 2013mitvc, Innovation in Controls
2474, 2013misjo, District Winner
2474, 2013misjo, Innovation in Controls
2474, 2014misou, Regional Finalist
2474, 2016miken, District Finalist
2474, 2016miken, Delphi Excellence in Engineering
2474, 2015mitvc, Judges Award
2474, 2012gt, Innovation in Controls
2474, 2012swm, Regional Winner
2474, 2012swm, Delphi Excellence in Engineering
1159, 2011sac, Team Spirit
1159, 2012sac, Team Spirit
1159, 2016casd, Woodie Flowers Finalist
1159, 2005nv, Judges Award
1159, 2015cave, Team Spirit
1159, 2013casd, Judges Award
4264, 2016tnkn, Regional Finalist
4264, 2016tnkn, Imagery
4264, 2016tnkn, Wildcard
4264, 2012tn, Regional Finalist
5167, 2016mimar, Delphi Excellence in Engineering
5167, 2016misou, Team Spirit
5167, 2015misou, Gracious Professionalism
51, 2014misou, GM Industrial Design
51, 2011dt, Winner
51, 2011dt, Delphi Excellence in Engineering
51, 2013miwfd, Judges Award
51, 2013miwfd, District Finalist
51, 2012dt, Judges Award
51, 2016miwat, Team Spirit
51, 2011gg, Delphi Excellence in Engineering
51, 2014miwat, Regional Finalist
51, 2014miwat, Team Spirit
51, 2010dt, Winner
51, 2010dt, Safety
51, 2010dt, Creativity
51, 2010gg, Creativity
51, 2011cur, Division Winner
51, 2015mitvc, Delphi Excellence in Engineering
51, 2016mihow, District Event Winner
51, 2012gl, Delphi Excellence in Engineering
51, 2012gg, Delphi Excellence in Engineering
2996, 2015code, Quality
2996, 2015utwv, Regional Engineering Inspiration
2996, 2010co, Safety
2996, 2010co, Entrepreneurship
2996, 2010co, Autodesk Award
2996, 2014utwv, Regional Chairmans Award
2996, 2014utwv, Regional Winner
2996, 2014utwv, Imagery
2996, 2013code, Regional Chairmans Award
2996, 2013code, Regional Finalist
2996, 2012cmp, FIRST Deans List Award
2996, 2012co, Regional Winner
2996, 2012co, Entrepreneurship
2996, 2012co, Woodie Flowers Finalist
2996, 2012co, Deans List Finalist
2996, 2013mokc, Imagery
2996, 2016code, Deans List Finalist
2996, 2016code, Regional Engineering Inspiration
2996, 2011co, Regional Chairmans Award
2996, 2011co, Woodie Flowers Award
2996, 2011co, Deans List Finalist
2996, 2011kc, Entrepreneurship
2996, 2009co, Regional Winner
2996, 2009co, Rookie All-Star
2996, 2009co, Website Award
2996, 2009co, Autodesk Award
2996, 2014code, Regional Finalist
2996, 2014code, Team Spirit
2996, 2012kc, Team Spirit
2485, 2012sdc, Creativity
2485, 2016casd, Regional Engineering Inspiration
2485, 2015carm, Innovation in Controls
2485, 2015carm, Deans List Finalist
2485, 2013casd, Regional Finalist
2485, 2013casd, Creativity
2485, 2013casb, Regional Winner
2485, 2013casb, Delphi Excellence in Engineering
2485, 2016capl, Deans List Finalist
2485, 2016capl, Regional Engineering Inspiration
2485, 2014nvlv, Regional Winner
2485, 2014nvlv, Delphi Excellence in Engineering
2485, 2014casd, Quality
2485, 2014casd, Regional Finalist
2485, 2014casd, Woodie Flowers Finalist
2485, 2014casd, Deans List Finalist
2485, 2012nv, Quality
2485, 2012nv, Regional Finalist
2485, 2011sdc, Creativity
2485, 2011nv, Imagery
2485, 2015casd, Delphi Excellence in Engineering
2486, 2010az, Deans List Finalist
2486, 2010az, Regional Engineering Inspiration?
2486, 2015utwv, Regional Chairmans Award
2486, 2014cmp, FIRST Deans List Award
2486, 2012az, Regional Chairmans Award
2486, 2012az, Regional Finalist
2486, 2012az, Creativity
2486, 2012az, Deans List Finalist
2486, 2013casb, Imagery
2486, 2009az, Regional Chairmans Award
2486, 2009az, Website Award
2486, 2016casd, Regional Chairmans Award
2486, 2016casd, Regional Winner
2486, 2014azch, Regional Chairmans Award
2486, 2014azch, Regional Winner
2486, 2014azch, Deans List Finalist
2486, 2015azch, Gracious Professionalism
2486, 2015azch, Deans List Finalist
2486, 2008az, Judges Award
2486, 2016azfl, Gracious Professionalism
2486, 2016azfl, Deans List Finalist
2486, 2011az, Regional Chairmans Award
2486, 2013azch, Regional Chairmans Award
2486, 2013azch, Delphi Excellence in Engineering
2486, 2013azch, Woodie Flowers Finalist
2486, 2013azch, Deans List Finalist
2486, 2013azch, Volunteer of the Year
2486, 2012ut, Regional Engineering Inspiration?
6025, 2016txsa, Rookie All-Star
4026, 2015gape, Innovation in Controls
4026, 2016gacmp, District Championship Winner
4026, 2016gacol, Creativity
4026, 2014flfo, Regional Finalist
4026, 2016gaalb, Judges Award
4026, 2015gadu, Innovation in Controls
4026, 2013gadu, Regional Winner
4026, 2013gadu, Delphi Excellence in Engineering
4026, 2012ga, Imagery
4028, 2012in, Regional Winner
4028, 2016ohcl, Innovation in Controls
4028, 2015ilil, GM Industrial Design
4028, 2016ohci, GM Industrial Design
4028, 2016ohci, Regional Finalist
4028, 2016ohci, Wildcard
60, 2007nv, Entrepreneurship
60, 2006nv, Regional Finalist
60, 2016nvlv, Regional Finalist
60, 2016nvlv, Wildcard
60, 2007az, Regional Winner
60, 1999ca, Most Photogenic Award
60, 2001cur, Division Winner
60, 2004az, Quality
60, 2011nv, Winner
60, 2015nvlv, Regional Finalist
60, 2015nvlv, Regional Engineering Inspiration
60, 2002cur, Division Winner
60, 2011az, Regional Finalist
60, 2008nv, Delphi Excellence in Engineering
60, 2001ca2, Regional Winner
60, 2001ca2, Imagery
60, 2001ca2, Incredible Play
60, 2004co, Quality
60, 2004co, Regional Finalist
60, 2004co, Entrepreneurship
60, 2015azch, Regional Finalist
60, 2015azch, Delphi Excellence in Engineering
60, 2015azch, Woodie Flowers Finalist
60, 2015azch, Deans List Finalist
60, 2003az, Gracious Professionalism
60, 2002cmp, GM Industrial Design
60, 2008new, Division Winner
60, 2006az, Regional Winner
60, 2000ca, Regional Winner
60, 2000ca, Quality
60, 2000ca, #1 Seed
60, 2014azch, Regional Finalist
60, 2003ca, Regional Winner
60, 2003ca, Judges Award
60, 2001cmp, Quality
60, 2008az, Regional Winner
60, 2002sj, Regional Winner
60, 2002sj, Quality
60, 2002sj, Incredible Play Award
60, 2012nv, Deans List Finalist
60, 2002ca, Regional Winner
60, 2002ca, GM Industrial Design
60, 2016azfl, Woodie Flowers Finalist
60, 2001ca1, Quality
60, 2009nv, Gracious Professionalism
60, 2005nv, Regional Chairmans Award
60, 2005nv, Entrepreneurship
60, 2013azch, Regional Finalist
319, 2016marea, District Event Winner
319, 2015marea, District Finalist
319, 2015marea, Innovation in Controls
319, 2012nh, Innovation in Controls
319, 2006nh, Regional Finalist
319, 2004tx, Innovation in Controls
319, 2016nhdur, District Event Winner
319, 2015nhdur, Gracious Professionalism
319, 2015necmp, Volunteer of the Year
319, 2014nhdur, Creativity
1987, 2012mo, Website Award
1987, 2012mo, Regional Engineering Inspiration?
1987, 2015mokc, Creativity
1987, 2015mokc, Deans List Finalist
1987, 2015ohcl, Safety
1987, 2015ohcl, Creativity
1987, 2007co, Delphi Excellence in Engineering
1987, 2007co, Autodesk Award
1987, 2016txlu, Regional Engineering Inspiration
1987, 2014code, Quality
1987, 2014code, Safety
1987, 2013mokc, Regional Finalist
1987, 2008mn, Autodesk Award
1987, 2008mn, Regional Engineering Inspiration
1987, 2010ok, Regional Chairmans Award
1987, 2010ok, Winner
1987, 2010ok, Entrepreneurship
1987, 2010ok, Website Award
1987, 2009co, Regional Chairmans Award
1987, 2009co, Woodie Flowers Award
1987, 2013txsa, Regional Chairmans Award
1987, 2014mokc, GM Industrial Design
1987, 2012kc, Judges Award
1987, 2012kc, Website Award
1987, 2011il, Quality
1987, 2011il, Website Award
1987, 2016mokc, Safety
1987, 2016mokc, Regional Finalist
1987, 2016mokc, Entrepreneurship
1987, 2016mokc, Deans List Finalist
5572, 2015txsa, Rookie All-Star
5572, 2016txlu, Regional Finalist
5572, 2016txlu, Creativity
5572, 2016txlu, Wildcard
1718, 2009gg, Creativity
1718, 2008dt, Judges Award
1718, 2013miwfd, District Winner
1718, 2013miwfd, Entrepreneurship
1718, 2016mitry, District Chairmans Award
1718, 2016mitry, District Event Winner
1718, 2012mi, Regional Chairmans Award
1718, 2012mi, Website Award
1718, 2010mi, Regional Chairmans Award
1718, 2010mi, Coopertition Award
1718, 2010mi, Regional Finalist
1718, 2010mi, Website Award
1718, 2007dt, Judges Award
1718, 2013migbl, District Chairmans Award
1718, 2013migbl, District Winner
1718, 2016miwat, Entrepreneurship
1718, 2014miwat, Winner
1718, 2014miwat, GM Industrial Design
1718, 2010new, Division Finalist
1718, 2011gl, Entrepreneurship
1718, 2014micmp, Gracious Professionalism
1718, 2014micmp, Regional Finalist
1718, 2011mi, Regional Chairmans Award
1718, 2014cur, Championship Finalist
1718, 2015miwat, District Engineering Inspiration
1718, 2010dt1, Entrepreneurship
1718, 2011oc, Regional Finalist
1718, 2011oc, Innovation in Controls
1718, 2015miwmi, District Chairmans Award
1718, 2015micmp, Deans List Finalist
1718, 2015micmp, Regional Engineering Inspiration
1718, 2009mi, Regional Engineering Inspiration
1718, 2006gl, Rookie All-Star
1718, 2010gl, Entrepreneurship
1718, 2015carv, Championship Subdivision Finalist
1718, 2012gl, Regional Engineering Inspiration?
1718, 2014micen, District Chairmans Award
1718, 2013micmp, Gracious Professionalism
1718, 2013micmp, Deans List Finalist
1718, 2012oc, Regional Engineering Inspiration?
1718, 2016micmp, District Championship Winner
1718, 2016micmp, Entrepreneurship
2761, 2016cama, Gracious Professionalism
2761, 2015cama, Gracious Professionalism
2761, 2015cama, Deans List Finalist
2761, 2009sac, Rookie All-Star
2761, 2016capl, Regional Chairmans Award
2761, 2016capl, Deans List Finalist
2761, 2010sac, Winner
2761, 2015cave, Regional Winner
2122, 2011wa2, Quality
2122, 2011wa2, Regional Finalist
2122, 2014utwv, Regional Winner
2122, 2014utwv, Innovation in Controls
2122, 2011ut, Winner
2122, 2011ut, Quality
2122, 2015tes, GM Industrial Design
2122, 2008sac, Regional Winner
2122, 2008sac, Creativity
2122, 2016azfl, Regional Winner
2122, 2016azfl, Quality
2122, 2010sac, GM Industrial Design
2122, 2010sac, Regional Finalist
2122, 2015utwv, Regional Finalist
2122, 2015utwv, Delphi Excellence in Engineering
2122, 2015utwv, Woodie Flowers Finalist
2122, 2009or, Quality
2122, 2012was, Regional Winner
2122, 2012was, Delphi Excellence in Engineering
2122, 2014nvlv, Innovation in Controls
2122, 2007or, Highest Rookie Seed Award
2122, 2016idbo, Quality
2122, 2016idbo, Regional Finalist
2122, 2016idbo, Volunteer of the Year
2122, 2009sac, Regional Finalist
2122, 2010ut, Winner
2122, 2010ut, GM Industrial Design
2122, 2015azpx, Regional Winner
2122, 2015azpx, Innovation in Controls
2122, 2012ut, GM Industrial Design
973, 2012caf, Quality
973, 2011cmp, Championship - Championship Champion
973, 2014gal, Championship Winner
973, 2014gal, Judges Award
973, 2014cama, Regional Winner
973, 2014cama, Gracious Professionalism
973, 2015calb, Regional Winner
973, 2015cars, Quality
973, 2014calb, Regional Finalist
973, 2016cama, Woodie Flowers Finalist
973, 2014cc, Winner
973, 2011sdc, GM Industrial Design
973, 2008nv, Regional Finalist
973, 2004sj, Innovation in Controls
973, 2009ca, Regional Winner
973, 2010nv, Regional Finalist
973, 2013casj, Regional Finalist
973, 2013casj, Creativity
973, 2003ca, Judges Award
973, 2015cc, Regional Finalist
973, 2002sj, Rookie All-Star
973, 2016cave, Regional Winner
973, 2016cave, Quality
973, 2011ca, Quality
973, 2011gal, Division Winner
973, 2012ca, GM Industrial Design
973, 2012ca, Regional Finalist
973, 2015carm, Quality
973, 2012cmp, Delphi Excellence in Engineering
973, 2013calb, Regional Winner
5454, 2015txlu, Rookie All-Star
5454, 2015txlu, Highest Rookie Seed
5454, 2016arlr, Judges Award
5454, 2015arfa, Rookie Inspiration
5454, 2015hop, Rookie Inspiration
5454, 2016txda, Regional Engineering Inspiration
2445, 2015hiho, Team Spirit
2445, 2013hiho, Imagery
2445, 2012hi, Imagery
2445, 2011hi, Judges Award
2445, 2014hiho, Imagery
2445, 2016hiho, Regional Winner
5712, 2015mimid, District Event Winner
5712, 2015mimid, Team Spirit
5712, 2016milsu, Quality
5712, 2015miesc, District Event Winner
5712, 2015miesc, Rookie All-Star
3538, 2012gl, Deans List Finalist
3538, 2016misou, Quality
3538, 2016mimid, District Event Winner
3538, 2016mimid, GM Industrial Design
3538, 2015misou, Creativity
3538, 2012dt, Regional Finalist
3538, 2015mitry, GM Industrial Design
1619, 2016code, Regional Winner
1619, 2016code, Innovation in Controls
1619, 2016code, Woodie Flowers Finalist
1619, 2007co, Quality
1619, 2015gal, Delphi Excellence in Engineering
1619, 2010co, Regional Finalist
1619, 2010co, Delphi Excellence in Engineering
1619, 2014utwv, Quality
1619, 2013code, Quality
1619, 2013code, Innovation in Controls
1619, 2012co, Innovation in Controls
1619, 2015code, Regional Winner
1619, 2015code, Innovation in Controls
1619, 2006co, Gracious Professionalism
1619, 2011co, Regional Finalist
1619, 2011co, Delphi Excellence in Engineering
1619, 2014code, Creativity
1619, 2014code, Woodie Flowers Finalist
1619, 2015utwv, Regional Winner
1619, 2015utwv, GM Industrial Design
1619, 2009co, Quality
1619, 2009co, Delphi Excellence in Engineering
1619, 2005co, Creativity
1619, 2005co, Regional Engineering Inspiration?
1619, 2016azfl, Regional Chairmans Award
1619, 2013cttd, GM Industrial Design
5332, 2016gacmp, GM Industrial Design
2137, 2015miwat, District Chairmans Award
2137, 2015miwat, District Event Winner
2137, 2012gl, Gracious Professionalism
2137, 2015miwmi, District Event Winner
2137, 2015miwmi, Gracious Professionalism
2137, 2015miwmi, Safety
2137, 2015tes, Championship Subdivision Finalist
2137, 2015micmp, Regional Chairmans Award
2137, 2015micmp, Deans List Finalist
2137, 2013miwfd, Imagery
2137, 2013miliv, Innovation in Controls
2137, 2011gg, Winner
2137, 2011gg, GM Industrial Design
2137, 2014miwat, Quality
2137, 2007gl, Rookie All-Star
2137, 2014mimid, District Chairmans Award
2137, 2014micmp, Team Spirit
2137, 2015mibed, District Engineering Inspiration
2137, 2012ww, Regional Chairmans Award
2137, 2016mimar, District Chairmans Award
2137, 2016mimar, Safety
2137, 2016mimar, District Finalist
2137, 2016miwat, Delphi Excellence in Engineering
2137, 2008gl, Creativity
2137, 2011ww, Winner
2137, 2011ww, Regional Engineering Inspiration?
2137, 2016micmp, District Championship Finalist
5084, 2014miket, Judges Award
5084, 2014miket, Regional Finalist
5084, 2016miket, District Event Winner
5084, 2016miket, Creativity
5084, 2015milan, District Engineering Inspiration
2526, 2015mndu, Regional Winner
2526, 2015mndu, Team Spirit
2526, 2015mndu, Deans List Finalist
2526, 2015wimi, Innovation in Controls
2526, 2016iacf, Innovation in Controls
