Team,EventKey,Award
3602, 2016miesc, District Event Winner
3602, 2016miesc, Delphi Excellence in Engineering
3602, 2014mitvc, Winner
3602, 2014mitvc, Quality
6035, 2016ausy, Regional Winner
5422, 2016mabos, District Finalist
5422, 2016mabos, Creativity
5422, 2016necmp, Deans List Finalist
5422, 2016necmp, Regional Engineering Inspiration
5422, 2015marea, Rookie All-Star
5422, 2015necmp, Rookie All-Star
5422, 2016nhgrs, District Engineering Inspiration
5401, 2015pahat, Highest Rookie Seed
5401, 2015padre, Rookie Inspiration
5401, 2016mrcmp, Judges Award
4761, 2016necmp, Regional Chairmans Award
4761, 2013mabo, Rookie All-Star
4761, 2013mabo, Highest Rookie Seed
4761, 2016ripro, Creativity
4761, 2016marea, District Chairmans Award
4761, 2014rismi, Winner
4761, 2015marea, Entrepreneurship
4761, 2015rismi, Entrepreneurship
2586, 2014miesc, Winner
2586, 2014mitvc, Regional Finalist
2586, 2015miken, Creativity
2586, 2011oc, Regional Finalist
2586, 2016miesc, District Engineering Inspiration
2586, 2015miesc, District Finalist
2586, 2015miesc, Imagery
2586, 2009gg, Regional Finalist
2586, 2013misjo, District Winner
4911, 2014wasno, Winner
4911, 2014wasno, Highest Rookie Seed Award
4911, 2014wasno, Regional Engineering Inspiration?
4911, 2014pncmp, Rookie All-Star
4911, 2014pncmp, Highest Rookie Seed Award
4911, 2016pncmp, Regional Chairmans Award
4911, 2014washo, Rookie All-Star
4911, 2014washo, Highest Rookie Seed Award
4911, 2016wamou, District Finalist
4911, 2016wamou, District Engineering Inspiration
4911, 2016wasno, District Chairmans Award
4911, 2016wasno, District Finalist
4911, 2015pncmp, Judges Award
4911, 2015washo, District Chairmans Award
4911, 2015waamv, Delphi Excellence in Engineering
4911, 2015wamou, District Finalist
4911, 2015wamou, Imagery
4911, 2014arc, Highest Rookie Seed Award
4911, 2014waahs, Highest Rookie Seed Award
4911, 2014waahs, Rookie Inspiration
4508, 2015nytr, Imagery
4508, 2016nytr, Regional Winner
4508, 2013nyro, Highest Rookie Seed
4508, 2013nyro, Rookie Inspiration
3098, 2016micen, GM Industrial Design
3098, 2016micen, District Finalist
3098, 2014miwat, Winner
3098, 2014miwat, Imagery
3098, 2012oc1, Quality
3098, 2012oc1, Regional Finalist
3098, 2014misou, Innovation in Controls
3098, 2015miwat, Team Spirit
3098, 2009dt1, Regional Winner
3098, 2009dt1, Rookie Inspiration
3098, 2012wca, Gracious Professionalism
3098, 2015micmp, District Championship Finalist
3098, 2010dt1, Imagery
3098, 2011wc, Regional Finalist
3098, 2016miwat, Judges Award
3098, 2015micen, District Event Winner
3098, 2015micen, Delphi Excellence in Engineering
3098, 2009grl, Highest Rookie Seed Award
3098, 2009grl, Rookie Inspiration
3098, 2009grl, Regional Finalist
1310, 2010wat, Regional Finalist
1310, 2009wat, Judges Award
1310, 2011wat, Regional Finalist
1310, 2016onnb, Regional Winner
1310, 2016onnb, GM Industrial Design
1310, 2015arc, Championship Subdivision Finalist
1310, 2014onto2, Regional Winner
1310, 2014onto2, Regional Engineering Inspiration?
1310, 2010on, Regional Finalist
1310, 2010on, Team Spirit
1310, 2015onnb, Regional Winner
1310, 2015onnb, Innovation in Controls
1310, 2015onnb, Woodie Flowers Finalist
1310, 2004on, Team Spirit
1310, 2013onto2, Regional Finalist
1310, 2013onwa, Regional Finalist
1310, 2013onwa, Innovation in Controls
1310, 2012on2, Innovation in Controls
1310, 2015onto2, Creativity
5024, 2015hop, Creativity
5024, 2014onwi, Rookie All-Star
5024, 2016onnb, Team Spirit
5024, 2016onwi, Regional Finalist
5024, 2016onwi, Regional Engineering Inspiration
5024, 2015onwi, Creativity
5024, 2015onwi, Regional Engineering Inspiration
4125, 2016waspo, District Chairmans Award
4125, 2014waell, District Chairmans Award
4125, 2016waell, District Engineering Inspiration
4125, 2014pncmp, Entrepreneurship
4125, 2015pncmp, Imagery
4125, 2015waell, District Finalist
4125, 2015waell, Team Spirit
4125, 2016pncmp, Regional Engineering Inspiration
4125, 2014wache, Winner
4125, 2014wache, Regional Engineering Inspiration?
4125, 2015waspo, District Chairmans Award
4125, 2016idbo, Entrepreneurship
4125, 2013wach, Regional Winner
2338, 2011il, Team Spirit
2338, 2015ilch, Regional Chairmans Award
2338, 2015ilch, Regional Finalist
2338, 2012il, Judges Award
2338, 2013wimi, Regional Winner
2338, 2010il, Team Spirit
2338, 2016ilch, Regional Chairmans Award
2338, 2016ilch, Regional Finalist
2338, 2013ilch, Gracious Professionalism
2338, 2013ilch, Deans List Finalist
2338, 2016arlr, Team Spirit
2338, 2015arc, Championship Subdivision Winner
2338, 2008il, Rookie All-Star
2338, 2015wimi, Judges Award
2338, 2014ilch, Regional Finalist
4003, 2013miwmi, District Finalist
4003, 2013miwmi, Team Spirit
4003, 2012mi, Rookie Inspiration
4003, 2016miwmi, Innovation in Controls
4003, 2016micmp, Innovation in Controls
4003, 2016miwat, District Event Winner
4003, 2016miwat, Innovation in Controls
4003, 2012gt, Regional Winner
4003, 2012gt, Rookie All-Star
4003, 2012gt, Highest Rookie Seed
4003, 2014migul, Regional Finalist
4003, 2015mihow, District Finalist
4003, 2015mihow, Creativity
4003, 2015miwmi, Judges Award
1318, 2014gal, Championship Finalist
1318, 2014pncmp, Regional Winner
1318, 2014wasno, Entrepreneurship
1318, 2015pncmp, Deans List Finalist
1318, 2016pncmp, Entrepreneurship
1318, 2014washo, District Chairmans Award
1318, 2012wa2, Quality
1318, 2015wamou, District Event Winner
1318, 2015wamou, Innovation in Controls
1318, 2008or, Regional Chairmans Award
1318, 2016waell, Quality
1318, 2016waell, District Finalist
1318, 2009or, Regional Winner
1318, 2008wa, Judges Award
1318, 2016orphi, Gracious Professionalism
1318, 2016orphi, District Finalist
1318, 2015washo, District Event Winner
1318, 2015washo, Team Spirit
1318, 2015waamv, District Event Winner
1318, 2015waamv, Creativity
1318, 2013wase2, Entrepreneurship
1318, 2014waahs, Winner
1318, 2014waahs, Innovation in Controls
4519, 2013onwa, Rookie All-Star
4519, 2013onwa, Highest Rookie Seed
4519, 2016onnb, Regional Finalist
4519, 2016onnb, Wildcard
4828, 2016nccmp, Regional Engineering Inspiration
4828, 2013ncre, Regional Winner
4828, 2016ncbui, Judges Award
4828, 2016ncral, Creativity
4828, 2016ncash, District Engineering Inspiration
4828, 2015ncre, Team Spirit
3847, 2012da2, Regional Chairmans Award
3847, 2014txda, Woodie Flowers Finalist
3847, 2014txho, Regional Chairmans Award
3847, 2014txho, Creativity
3847, 2015tes, Judges Award
3847, 2011tx, Highest Rookie Seed
3847, 2011tx, Rookie Inspiration
3847, 2013lake, Entrepreneurship
3847, 2013arfa, Regional Finalist
3847, 2016lake, Regional Finalist
3847, 2016lake, Regional Engineering Inspiration
3847, 2013txho, Regional Finalist
3847, 2013txho, Entrepreneurship
45, 2002il, Regional Chairmans Award
45, 2002il, Regional Finalist
45, 2012in, Website Award
45, 2012in, Volunteer of the Year
45, 2003mo, Gracious Professionalism
45, 2013inwl, Woodie Flowers Finalist
45, 2016inwla, District Event Winner
45, 2008in, GM Industrial Design
45, 2008in, Regional Finalist
45, 2008mo, Regional Finalist
45, 2008mo, Regional Engineering Inspiration
45, 2005in, Judges Award
45, 2001il, GM Industrial Design
45, 2006in, Regional Chairmans Award
45, 1992cmp, Championship Finalist
45, 1992cmp, Best Craftsmanship/Ultimate Keeper Award
45, 2011in, Deans List Finalist
45, 2009in, Regional Chairmans Award
45, 2009in, Regional Finalist
45, 2009in, Creativity
45, 2003il, Regional Winner
45, 2003il, Judges Award
45, 2015inkok, Gracious Professionalism
45, 2010in, Winner
45, 2010in, Quality
45, 1998cmp, Championship Winner
45, 1998cmp, Judges Award
45, 2015inwla, Team Spirit
45, 2007in, Quality
45, 2002cmp, Honorable Mention-Technical Execution
45, 1995cmp, Chairmans Award Finalist
45, 1999il, Outstanding Defense
45, 2005il, Safety
45, 2005il, Regional Engineering Inspiration?
45, 2000il, Regional Winner
45, 2000cmp, Creativity
45, 2016inpmh, District Event Winner
45, 2001mi2, Innovation in Controls
45, 2004arc, Division Finalist
45, 2014inwl, Innovation in Controls
45, 2000mi, Regional Finalist
45, 1999cmp, Championship Finalist
45, 2003pit, Gracious Professionalism
45, 2007mo, Regional Winner
45, 2007mo, Quality
45, 2004il, Regional Winner
45, 2004il, Gracious Professionalism
45, 2012ohc, Regional Winner
45, 2001gal, Division Finalist
45, 2015incmp, Woodie Flowers Finalist
45, 2003cmp, Woodie Flowers Award
45, 1998mi, Regional Finalist
3630, 2012mn, Regional Chairmans Award
3630, 2013mnmi, Imagery
3630, 2016mnmi, Delphi Excellence in Engineering
3630, 2016mnmi, Deans List Finalist
3630, 2016iacf, Regional Engineering Inspiration
3630, 2011mn, Rookie All-Star
1629, 2012oh, Regional Chairmans Award
1629, 2016vahay, District Finalist
1629, 2016vahay, District Engineering Inspiration
1629, 2012cmp, Regional Engineering Inspiration?
1629, 2008oh, Delphi Excellence in Engineering
1629, 2008oh, Regional Engineering Inspiration
1629, 2016chcmp, Regional Engineering Inspiration
1629, 2012md, Innovation in Controls
1629, 2012md, Deans List Finalist
1629, 2007md, Innovation in Controls
1629, 2010md, Regional Chairmans Award
1629, 2015cmp, FIRST Deans List Award
1629, 2011cmp, Regional Engineering Inspiration?
1629, 2014mdba, Regional Chairmans Award
1629, 2014mdba, Regional Winner
1629, 2008md, Entrepreneurship
1629, 2015papi, Regional Winner
1629, 2015papi, Entrepreneurship
1629, 2011oh, Creativity
1629, 2011oh, Regional Engineering Inspiration?
1629, 2013ohcl, Regional Engineering Inspiration?
1629, 2007pit, Innovation in Controls
1629, 2011pit, Innovation in Controls
1629, 2006md, Regional Winner
1629, 2006md, Innovation in Controls
1629, 2009pit, Creativity
1629, 2009pit, Regional Engineering Inspiration
1629, 2013papi, Regional Finalist
1629, 2013papi, Delphi Excellence in Engineering
1629, 2016mdedg, District Chairmans Award
1629, 2016mdedg, District Event Winner
1629, 2015mdcp, Regional Chairmans Award
1629, 2015mdcp, Entrepreneurship
1629, 2015mdcp, Deans List Finalist
1629, 2006pit, Quality
1629, 2006pit, Regional Finalist
180, 2007fl, Gracious Professionalism
180, 2011sc, Winner
180, 2011sc, GM Industrial Design
180, 2002gal, Division Winner
180, 2012cmp, Championship Winner
180, 2015flor, Judges Award
180, 2013flbr, Regional Winner
180, 2012sfl, Regional Winner
180, 2012sfl, GM Industrial Design
180, 2012gal, Division Winner
180, 2008fl, Gracious Professionalism
180, 2008fl, Autodesk Award
180, 2003new, Division Finalist
180, 2016flwp, Regional Winner
180, 2016flwp, Safety
180, 2016flwp, Deans List Finalist
180, 2014flor, Regional Winner
180, 2015flfo, Gracious Professionalism
180, 2004fl, Entrepreneurship
180, 2002cmp, Championship Finalist
180, 2011fl, Regional Finalist
180, 2011fl, Delphi Excellence in Engineering
180, 2014flfo, Regional Winner
180, 2014flfo, Gracious Professionalism
180, 2014flfo, Deans List Finalist
180, 2009fl, Woodie Flowers Award
180, 1999cmp, Teacher Pioneer Award
180, 2013flor, Gracious Professionalism
180, 2002fl, Regional Winner
180, 2002fl, Quality
180, 2002fl, Incredible Play Award
180, 2016flor, Regional Chairmans Award
180, 2016flor, Regional Winner
180, 2006fl, Regional Winner
180, 2006fl, Gracious Professionalism
180, 2006fl, Autodesk Award
180, 2012fl, GM Industrial Design
180, 2012fl, Regional Finalist
3102, 2016mndu, Safety
3102, 2014mndu, Judges Award
3102, 2016wimi, Regional Winner
3102, 2016wimi, GM Industrial Design
3102, 2015mndu, Safety
4534, 2016nccmp, Regional Engineering Inspiration
4534, 2016ncbui, District Finalist
4534, 2016ncbui, District Engineering Inspiration
4534, 2016ncral, Entrepreneurship
4534, 2015ncre, Entrepreneurship
1208, 2011tn, Gracious Professionalism
1208, 2011mo, Entrepreneurship
1208, 2011mo, Deans List Finalist
1208, 2004mo, Team Spirit
1208, 2012mo, Regional Finalist
1208, 2012mo, Innovation in Controls
1208, 2012mo, Deans List Finalist
1208, 2012kc, Regional Finalist
1208, 2012kc, Innovation in Controls
1208, 2009kc, Regional Winner
1208, 2016iacf, Regional Winner
1208, 2014mosl, GM Industrial Design
1208, 2015arfa, Delphi Excellence in Engineering
1208, 2016mosl, Gracious Professionalism
1208, 2007mo, Delphi Excellence in Engineering
1208, 2015mosl, Regional Finalist
1208, 2015mosl, Delphi Excellence in Engineering
1208, 2013mosl, Regional Chairmans Award
1208, 2013mosl, Regional Winner
1208, 2010mo, Winner
1208, 2010mo, Coopertition Award
1208, 2010mo, GM Industrial Design
1208, 2008mo, Team Spirit
1208, 2009mo, Team Spirit
1208, 2009mo, Website Award
5050, 2014miwat, Gracious Professionalism
5050, 2016mibro, District Finalist
5050, 2016mibro, Delphi Excellence in Engineering
5050, 2016miliv, District Finalist
5050, 2014mibed, Rookie All-Star
839, 2016mawor, District Event Winner
839, 2004nh, Entrepreneurship
839, 2006ct, Entrepreneurship
839, 2004ct, Team Spirit
839, 2014cthar, Safety
839, 2014cthar, Entrepreneurship
839, 2002ct, Rookie All-Star
839, 2015cthar, Entrepreneurship
839, 2011wor, Entrepreneurship
839, 2010wor, Entrepreneurship
839, 2015maspr, Quality
839, 2015maspr, Safety
839, 2016cthar, Entrepreneurship
839, 2008ma, Regional Chairmans Award
839, 2002va, Highest Rookie Seed
839, 2007ma, Entrepreneurship
839, 2013ctha, Entrepreneurship
839, 2012wor, Regional Chairmans Award
839, 2012wor, Safety
839, 2012wor, Delphi Excellence in Engineering
4564, 2016mawor, Delphi Excellence in Engineering
4564, 2016necmp, District Championship Finalist
4564, 2016melew, Creativity
4564, 2015necmp, Deans List Finalist
4564, 2015melew, District Event Winner
4564, 2015melew, Innovation in Controls
4564, 2014melew, Innovation in Controls
4564, 2013mele, Rookie All-Star
4564, 2014mawor, Gracious Professionalism
4564, 2015nhdur, District Finalist
4564, 2015nhdur, Innovation in Controls
3389, 2010md, Rookie All-Star
3389, 2010md, Highest Rookie Seed
3135, 2010il, Rookie All-Star
3135, 2010mn2, Rookie All-Star
2881, 2015txsa, Imagery
2881, 2016txho, Regional Engineering Inspiration
2881, 2010tx, Judges Award
2881, 2009tx, Rookie Inspiration
2881, 2012tx, Deans List Finalist
2881, 2014txsa, Team Spirit
2881, 2015txho, Judges Award
2881, 2016txsa, Deans List Finalist
2881, 2016txsa, Regional Engineering Inspiration
2881, 2014txho, Team Spirit
1986, 2014cttd, Imagery
1986, 2013cmp, Delphi Excellence in Engineering
1986, 2012mo, Regional Winner
1986, 2012mo, Delphi Excellence in Engineering
1986, 2015mosl, Regional Winner
1986, 2015mosl, GM Industrial Design
1986, 2012kc, Regional Winner
1986, 2012kc, Deans List Finalist
1986, 2012kc, Regional Engineering Inspiration?
1986, 2009mn, Regional Chairmans Award
1986, 2013okok, Regional Winner
1986, 2013okok, Gracious Professionalism
1986, 2013txlu, Regional Winner
1986, 2013txlu, Quality
1986, 2013txlu, Entrepreneurship
1986, 2013txlu, Deans List Finalist
1986, 2011co, Winner
1986, 2011co, Website Award
1986, 2011co, Deans List Finalist
1986, 2011co, Regional Engineering Inspiration?
1986, 2016mokc, Regional Winner
1986, 2016mokc, GM Industrial Design
1986, 2016mokc, Deans List Finalist
1986, 2013new, Division Finalist
1986, 2011kc, GM Industrial Design
1986, 2010cmp, Innovation in Controls
1986, 2014new, GM Industrial Design
1986, 2013mokc, Regional Winner
1986, 2013mokc, GM Industrial Design
1986, 2013mokc, Woodie Flowers Finalist
1986, 2009kc, Imagery
1986, 2008kc, Innovation in Controls
1986, 2014ilil, Regional Chairmans Award
1986, 2014ilil, Regional Winner
1986, 2010mn2, Winner
1986, 2010mn2, Innovation in Controls
1986, 2010cur, Division Finalist
1986, 2008co, Regional Finalist
1986, 2008co, Innovation in Controls
1986, 2014mokc, Regional Winner
1986, 2014mokc, Innovation in Controls
1986, 2014mokc, Deans List Finalist
1986, 2015ohci, Regional Winner
1986, 2015ohci, Quality
1986, 2016tnkn, Regional Finalist
1986, 2016tnkn, Regional Engineering Inspiration
1986, 2015arfa, Quality
1986, 2015arfa, Regional Finalist
4931, 2015mosl, Gracious Professionalism
4931, 2014mosl, Highest Rookie Seed Award
4931, 2014mosl, Rookie Inspiration
4931, 2016mosl, Regional Finalist
5878, 2016miesc, Rookie All-Star
5878, 2016mitvc, Rookie Inspiration
3527, 2015mxmc, Regional Finalist
3527, 2011cmp, Rookie Inspiration
3527, 2016mxmc, Regional Winner
3527, 2011on, Rookie All-Star
2637, 2008ca, Highest Rookie Seed Award
2637, 2016casd, Regional Finalist
2637, 2016casd, Delphi Excellence in Engineering
2637, 2016casd, Wildcard
2637, 2014cama, Creativity
3534, 2016mimar, District Event Winner
3534, 2016mimar, Creativity
3534, 2014miket, Regional Finalist
3534, 2012ww, Creativity
3534, 2016mike2, District Finalist
3534, 2016mike2, Creativity
207, 2012cmp, Championship Finalist
207, 2005ca, Delphi Excellence in Engineering
207, 2005ca, Autodesk Award
207, 2008ca, Quality
207, 2009co, GM Industrial Design
207, 2009co, Regional Finalist
207, 2010ca, Judges Award
207, 2016calb, Regional Engineering Inspiration
207, 2007co, Regional Finalist
207, 2007co, Imagery
207, 2012ca, Regional Engineering Inspiration?
207, 2011ca, Team Spirit
207, 2002ca, Quality
207, 2013calb, Quality
207, 2016cave, GM Industrial Design
207, 2004ca, Quality
207, 2009ca, Regional Winner
207, 2009ca, Quality
207, 2008az, Quality
207, 2008az, Regional Engineering Inspiration
207, 2015calb, Regional Chairmans Award
207, 2003ca, Quality
207, 2012cur, Division Winner
207, 2003az, Imagery
207, 2014calb, Gracious Professionalism
207, 2014calb, Woodie Flowers Finalist
207, 2014calb, Deans List Finalist
207, 2006az, Quality
207, 1999ca, Gracious Professionalism
207, 1999ca, Regional Finalist
207, 2007ca, Gracious Professionalism
5410, 2015flfo, Highest Rookie Seed
1747, 2015inind, Gracious Professionalism
1747, 2008gl, Judges Award
1747, 2011tn, Regional Finalist
1747, 2011tn, Team Spirit
1747, 2007in, Regional Finalist
1747, 2013inwl, Regional Winner
1747, 2009oh, Regional Winner
1747, 2009oh, Regional Engineering Inspiration
1747, 2016inwch, District Chairmans Award
1747, 2016inwla, District Event Winner
1747, 2016inwla, Entrepreneurship
1747, 2006oh, Highest Rookie Seed Award
1747, 2006oh, Rookie Inspiration
1747, 2006oh, Autodesk Award
1747, 2016inpmh, District Event Winner
1747, 2016inpmh, Innovation in Controls
1747, 2015inwla, District Finalist
1747, 2015inwla, Entrepreneurship
1747, 2016incmp, Entrepreneurship
1747, 2006in, Rookie All-Star
1747, 2007mo, Judges Award
1747, 2009in, Regional Engineering Inspiration
1747, 2012in, Team Spirit
980, 2002ca, Rookie All-Star
980, 2004az, GM Industrial Design
980, 2013calb, Creativity
980, 2013calb, Woodie Flowers Finalist
980, 2013calb, Deans List Finalist
980, 2010az, Quality
980, 2015calb, Deans List Finalist
980, 2016cave, Woodie Flowers Finalist
980, 2016cave, Regional Engineering Inspiration
980, 2005ca, Regional Finalist
980, 2005ca, Innovation in Controls
980, 2004ca, Regional Winner
980, 2004ca, Innovation in Controls
980, 2008ca, Regional Winner
980, 2005sj, Regional Winner
980, 2005sj, Delphi Excellence in Engineering
980, 2003ca, Creativity
980, 2010ca, Regional Finalist
980, 2003az, Quality
980, 2014calb, Regional Finalist
980, 2007ca, Regional Finalist
4039, 2013onwa, Judges Award
4039, 2014nyny, Regional Winner
4039, 2014nyny, Entrepreneurship
4039, 2016ohcl, Regional Winner
4039, 2016ohcl, Entrepreneurship
4039, 2016ohcl, Imagery
4039, 2015onwa, Creativity
4039, 2015onwa, Deans List Finalist
4039, 2015nyro, Regional Chairmans Award
4039, 2015nyro, Regional Winner
4039, 2014onwa, Imagery
4039, 2014onwa, Woodie Flowers Finalist
4039, 2012wat, Rookie Inspiration
4039, 2013onto2, Judges Award
4039, 2016onwa, Safety
4039, 2016onwa, Entrepreneurship
4039, 2015carv, Championship Subdivision Finalist
4183, 2016azfl, Regional Finalist
4183, 2012ut, Rookie All-Star
4183, 2014txlu, Quality
4183, 2016azpx, Regional Finalist
4183, 2016azpx, Delphi Excellence in Engineering
4183, 2016azpx, Wildcard
4183, 2013azch, Judges Award
4183, 2014azch, Delphi Excellence in Engineering
4183, 2015azch, Regional Winner
4183, 2015azch, Creativity
4103, 2015inind, Creativity
4103, 2016incmp, District Championship Winner
4103, 2016incmp, Creativity
4103, 2012in, Coopertition Award
4103, 2016inwla, Delphi Excellence in Engineering
4103, 2016inwch, Creativity
3932, 2016flor, Entrepreneurship
3932, 2013flor, Judges Award
3932, 2016flwp, Regional Winner
3932, 2016flwp, Woodie Flowers Finalist
3932, 2014flfo, Regional Winner
3932, 2013flbr, Judges Award
3932, 2012sfl, Highest Rookie Seed
3932, 2012sfl, Rookie Inspiration
1501, 2015inind, District Event Winner
1501, 2015inind, Innovation in Controls
1501, 2016incmp, District Championship Finalist
1501, 2016incmp, Delphi Excellence in Engineering
1501, 2012in, Regional Winner
1501, 2012in, GM Industrial Design
1501, 2012in, Safety
1501, 2012in, Deans List Finalist
1501, 2010in, Safety
1501, 2010in, Delphi Excellence in Engineering
1501, 2013inwl, Gracious Professionalism
1501, 2015inkok, District Engineering Inspiration
1501, 2016inwla, Innovation in Controls
1501, 2016inpmh, District Finalist
1501, 2016inpmh, Delphi Excellence in Engineering
1501, 2016ncmcl, Quality
1501, 2016ncmcl, District Finalist
1501, 2006in, Regional Finalist
1501, 2006in, Delphi Excellence in Engineering
1501, 2014mosl, Regional Winner
1501, 2014mosl, Quality
1501, 2008in, Safety
1501, 2011in, Regional Finalist
1501, 2011in, Woodie Flowers Award
1501, 2014papi, Quality
1501, 2014papi, Regional Finalist
1501, 2009in, Safety
1501, 2009in, Imagery
1501, 2015incmp, District Championship Finalist
1501, 2015incmp, Regional Engineering Inspiration
1501, 2012tn, Imagery
1501, 2010ct, Regional Finalist
1501, 2010ct, Entrepreneurship
3166, 2016utwv, Regional Winner
6032, 2016ohcl, Rookie All-Star
6032, 2016ohcl, Highest Rookie Seed
5858, 2016alhu, Rookie All-Star
5987, 2016ista, Rookie All-Star
5926, 2016mimar, District Event Winner
5926, 2016mimar, Judges Award
5926, 2016mike2, District Event Winner
5926, 2016mike2, Rookie All-Star
5926, 2016micmp, Rookie Inspiration
5926, 2016micmp, Deans List Finalist
999, 2016ctwat, Judges Award
999, 2006ct, Autodesk Award
999, 2014ctsou, Winner
999, 2002ct, Rookie All-Star
1768, 2016mawor, District Event Winner
1768, 2016mawor, GM Industrial Design
1768, 2015mabos, GM Industrial Design
1768, 2015mabos, District Finalist
1768, 2012ma, Quality
1768, 2016necmp, Quality
1768, 2016ripro, GM Industrial Design
1768, 2010ma, Winner
1768, 2016mabos, District Event Winner
1768, 2016mabos, GM Industrial Design
1768, 2015marea, Delphi Excellence in Engineering
